;Comment
0;"Мне кажется что эта проблема с контейнеровозом слишком раздута и надумана.
Просто надо за этой баржей подогнать еще штук десять и пусть начнут беспрерывно сигналить."
1;норм кто-то расположился. костёр. чёт жарит.. верёвка-сушилка привязана к зубу какой-то пасти.
2;Первый модератор пикабу?!
3;Так вот какой у них подвал!
4;Брательник по папиной линии))
5;Жарит зефирку и сушит носки))
6;похож на меня. может мой брат-близнец, с которым меня разлучили в детстве.
7;Так вот где второй носок. А я ищу...
8;Там много крутых деталей, и отсылок)
9;Блоки тоже отсылка к Марио. Не знаю про кого надпись. И просто бургер
10;Причём многие детали в виде окаменелостей) Значит до них кто-то уже пытался и очень-очень давно)
11;Ворона отсылка к игре monument valley если кому то интересно
12;Вас с ТС в детстве не разлучили? Что один заморочился, что второй))
13;Меня сильно улыбнул царь из царства багов (из картинки про программистов, где тоже был концепт с глубокой пещерой, так что отсылка можно сказать самая прямая).
14;"Пфф, да вся картинка отсылка к аниме Made in Abyss.
З.Ы. показать это ребёнку - плохая идея"
15;Кхм...
16;Еще картриж e.t. для atari
17;Отсылка к майнкрафту, как же без него:)
18;Еще кашалот маленький
19;А мне интересно, куда ведет эта дверь?) Ведь можно и вбок немало продолжить)))
20;в копи мории
21;Или это мимик
22;"В покинутую мастерскую наверное
(Bloodborne)"
23;"Это парадная дверь чувака, который высунулся ниже)
... или выше. Тогда это дом кролика, который ждет в гости Винни с Пяточком. Только он немного изменился (годы берут свое)"
24;Алиса в стране чудес
25;https://cv1.pikabu.ru/video/2019/11/12/157358379425016886_72...
26;"""дверь закрыта с другой стороны"""
27;А налево замочная скважина
28;Нам срочно нужно поговорить...
29;Рассказывай. Как поживаешь?
30;Как тебе там? Не одиноко?)
31;Меня интересует только один вопрос. Что за той дверью ????
32;#comment_154171373
33;а  я колготки потеряла((Не видел?
34;Вспоминай с кем вчера была
35;Это мой. Свой ищи в другом месте.
36;Это и есть второй. Первый в стиралке
37;Добби спиздил
38;Хахахахаха, точно твой носок? Может, это мой)))
39;"Анекдот в тему.
Альпинист упал в пропасть. Товарищи ему по мобильной рации:
— Вася, ты жив?!
— Жив!
— Руки целы?
— Целы!
— Ноги целы?
— Целы!
— Так поднимайся!
— Не могу, я еще лечу!"
40;"мужичок с гармошкой
выпал из окошка
пока вниз летел
сам себя отпел ))"
41;Наконец-то длинные экраны смартфонов оказались полезны.
42;Ага
43;Напоминает коробку из под лазера с херовой тучей насадок.
44;"Охереть, это еще на 5-й стёб)
YouTube●2:15"
45;И пузырек сбоку с линейкой?
46;Клавиатуру напоминает
47;"Бездонная яма из Гравити Фолз)
GIF●20 Кб"
48;Ппц резко было
49;Долго он ещё будет падать? Я уже год смотрю, а он всё летит!
50;Кажется я знаю, куда они спускаются...
51;Когда же 2 сезон уже, обещали ещё в июле:(
52;В 20м году выходит (если ничего не изменится) полнометражка со следующей аркой. А вот второй сезон аниме придется ждать, видимо, годами. У мангаки оч большие проблемы со здоровьем, поэтому публикация супер медленная, по 3-4 главы в год. На текущий момент 55, по-моему глав, первый сезон аниме покрыл по-моему глав 20. В общем, делайте математику сами, сколько на текущий момент осталось для экранизации - краткий ответ - их не хватает.
53;Так читай мангу. Издают в хорошем качестве у нас уже.
54;Шикимори говорит, что фильм, как продолжение, выйдет в январе 2020
55;А это откуда?
56;"Аниме и манга ""Сделано в Бездне"""
57;Счастливчик - не смотрел ещё.
58;Что это? Похоже на женские органы
59;"картинка со звуком
https://www.youtube.com/watch?v=SF_tj5g9SIo"
60;Это что?
61;#comment_154129059
62;О, не один я такой, любитель
63;Откуда это?
64;#comment_154129059
65;лавкрафт?
66;Made in the Abyss
67;Аниме: Сделано в Бездне/Made in Abyss
68;Аж шогготами зарахло
69;ДА это же Скверноскавен! Снизу только варпкамень вхуярить.
70;"для любителей покрутить колесико мышки  http://thedeepestsite.com/
вроде всего пару десятков человек прокрутило до конца"
71;"Вот еще для любителей покрутить. Солнечная система, если бы Луна была размером с 1 пиксель.

http://joshworth.com/dev/pixelspace/pixelspace_solarsystem.h..."
72;Так там можно посмотреть все со скоростью света, значок справа снизу.
73;о,вот это интересно. спасибо!
74;Забавный перевод от браузера)
75;Какой кайф. Спасибо
76;Это были самые увлекательные 5 913 880 263,2 км пустоты в моей жизни) Хотя какая пустота? Ведь там было 0.0000000000000000000042% заполненности!
77;У меня вот что то внезапно такой вопрос возник, раз и правда во вселенной так много пустоты, возможно ли вместить все звезды в нашу солнечную систему, бок о бок? Я думаю точно нет, но может хотя б 400 млдр. звезд нашей галактики поместятся, ведь действительно куча места??? Кто то может прикинуть или найти?
78;Я так и не докрутила когда-то.
79;Хм, а Юпитер довольно близко от начала :)
80;Прокрутил до 200 метров, картинка повторяется, песок, трещины, неровности просто зациклены, подозреваю, что такое же будет и на остальных слоях (нахожусь в sandstone), я думал, там реально слои фотографировались, хотя технически это вряд-ли можно сделать, имеется ввиду заснять всю шахту в глубину без обсадных труб. Прикольно, короч, но не более того. Максимальная скорость 60 см/сек, то есть чтобы прокрутить 8000 метров нужно непрерывно крутить колесо мыши почти 4 часа. Нахуй.
81;Там количество HD текстур соответствует количеству слоев. То есть 6-7, уже не помню. Они тайлятся, то есть слеплены вплотную бесшовно и повторяются заданное количество раз. Никаких сюрпризов - типа динозавров ископаемых или пиратских сокровищ - просто тупо текстуры. Действительно нахер нужно
82;ха! судя по демо-ролику, достигнув Боржоми, ваше имя на виртуальной табличке будет доступно всем смертным! Неужели это не стоит 4 часа кручения мышкой?))) любой игрок онлайн-дрочильнь рассмеется демоническим смехом и набьет 4 таблички за день
83;докрутил, там тупо имена тех кто тоже докрутил) около нескольких тысяч человек уже
84;А Артёму Владимирову там, похоже, нравится ) Аж три раза отметился.
85;Бля, как ты докрутил до конца за 3 мин 50 сек?
86;Артему Владимирову явно делать нефиг, три раза докручивал.
87;Гугл говорит, что глубина зарождения боржоми 8000м или 800000см. Максимальная скорость промотки на сайте 60см/сек. 800000/60=13333,33 сек или 3 часа 42,2 минуты, ну его нахер короче=)
88;"setInterval(() => {$('body').trigger('mousewheel', -1)}, 3);

в терминале браузера, и иди гулять на 4 часа )"
89;Да ну его в пизду Боржоми этот!
90;Был в Боржоми и пил этот Боржоми из фонтана в парке, чуть не взблевнул
91;Все время повторяется. Не интересно.
92;То что в счётчике времени отсчёт с часов начинается, смущает...
93;Скажи спасибо, что не дней)
94;спасибо за потраченный обед!
95;пожалуйста, обращайся
96;Ничего особо интересного не нашёл, даже мультик не показали. Были таблички докрутивших, свою сделать не дали из-за бага какого-то(
97;там максимальная скорость - 60 см/сек.....
98;Читеры, там одни и те же картинки
99;в консоли браузера ввел DEPTH = 100000000 и победил :)
100;Вот поэтому не очень хорошо хранить элементы в глобальной области видимости окна, а хотя бы хранить всю статистику в замыкании.
101;"самое интересное начинается вот на этой отметке
DEPTH = 31999773
А ещё немного выше, похоже, имена тех кто домотал))"
102;у меня на середине повисли текстуры, только счетчик крутился(( пришлось воспользоваться вашим читом
103;ощущение, что вода добывается где-то в Аиде ))
104;Поэтому и воняет серой)
105;Сука, и в настройках мыши на количество прокрутки строк не влияет.
106;Короче шуруповерт нужен
107;Нажми на колёсико и просто сдвинь мышку вниз
108;Там порода зациклена, не интересно.
109;не не, там после 500 метров самое интересное
110;Пролистал 100 метров, до воды не докопал
111;читак
112;До 200 докопал.,кто больше?
113;"Да нахер надо, они считерили склеив одну картинку. А я должен это говно мотать?
Если бы картинки были разные, то оно может еще и интересно было.

А так, задумка интересная, реализация говно."
114;4 километра, только скрин не сделать(
115;Мой рекорд 14 метров, все, ну его нахер дальше крутить.
116;Сделал. И да, я тебя ненавижу.
117;У них текстура повторяющаяся. Так не интересно(
118;Жаль ещё фиксированная 1920, что шире монитора, - не всё рассмотреть.
119;Есть же консоль, пускай само крутится.
120;Подскажите как сделать так, чтобы само крутилось
121;Поскролю утром
122;а макрос сделать?
123;Там дурное ограничение 60 см/с
124;А вот и не буду! Обед закончен, пора работать... до вечера.
125;Блядь, это охуенно, спасибо
126;PgDown уже неактуален? :)
127;попробуй
128;END или Ctrl+PgDn мотает быстрее.
129;Вы нахрена мне подсветку экрана выключили?!
130;Картинка не полная...
131;"Шикарная игрушка, просто лучшая прошлого года :) Если кто знает ещё похожие - пишите. Т.е. приключенческий боковой скроллер. Чтобы не только крошить всех, как в ""Контре"", а ещё и исследовать."
132;"Такого сюжетного сходу - крошить мечом и мир исследовать hollow knight, salt&sanctuary и всё что сейчас навыходило подобного, если инди-пиксель-сессионка с набором шмота и артефактов - vagante и кучу такого, копать если - ну тут террария и всё что на неё похоже.

* чисто кому что зашло"
133;Какая то оказуаленная версия террарии
134;Это держало в напряжении сильнее, чем половина современных фильмов!
135;Поддерживаю! Особенно зацепил плавный переход к затемнению освещения. Очень круто выполнено. Я даже в один момент поверил, что гаснет мой экран смарта))
136;А мне показалось, что я листал с марта.
137;Откуда у ТС столько +++??? Взломал пикабу или chemax?
138;Аналогично! Хотел уже яркость добавить
139;Я думала, что что-то с яркостью стало.
140;Пожалела, что посмотрела этот шедевр с ноутбука...)
141;Я в этот момент даже специально тему ночную врубил, чтобы атмосфернее было)
142;Ничего себе пещера
143;Да эж блет пещера мать ее моей бывшей!!!
144;Скрин сохранённой картинки в галерее)))
145;кишка. маштаб 1:500
146;Ты ещё на рабочий стол поставь
147;Узнаю пикабушника
148;То чувство, когда под конец, чтобы хоть что-то разглядеть, выкручиваешь яркость на максимум, а там АААААБЛЯЯЯЯЯ!
149;=) я подумал, что на улице потемнело)
150;Я пока прокручивал,в туалете все дела успел сделать.
151;На что только не дрочат
152;хм, а я не успел
153;Море
154;Да, это было охуенно, сохранил.
155;"directed by
Robert B. Weide"
156;Жалко, что сокровища не нашёл...
157;А я распечатал
